,Pre Context,Post Context,Current Utterance,No,csi_annotations_final
0,,"Paul the Wine Guy: I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?",Monica Geller: Oh my God!,1,[]
1,Monica Geller: Oh my God!,"Monica Geller: My brother's going through that right now, he's such a mess. How did you get through it?","Paul the Wine Guy: I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?",1,[]
2,"Paul the Wine Guy: I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?","Paul the Wine Guy: Well, you might try accidentally breaking something valuable of hers, say her-","Monica Geller: My brother's going through that right now, he's such a mess. How did you get through it?",1,[]
3,"Monica Geller: My brother's going through that right now, he's such a mess. How did you get through it?",Monica Geller: -leg?,"Paul the Wine Guy: Well, you might try accidentally breaking something valuable of hers, say her-",1,[]
4,"Paul the Wine Guy: Well, you might try accidentally breaking something valuable of hers, say her-","Paul the Wine Guy: That's one way! Me, I- I went for the watch.",Monica Geller: -leg?,1,[]
5,Monica Geller: -leg?,"Monica Geller: You actually broke her watch? Wow! The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel.","Paul the Wine Guy: That's one way! Me, I- I went for the watch.",1,[]
6,"Paul the Wine Guy: That's one way! Me, I- I went for the watch.","Paul the Wine Guy: Ooh, steer clear of you.","Monica Geller: You actually broke her watch? Wow! The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel.",1,[]
7,"Monica Geller: You actually broke her watch? Wow! The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel.",Monica Geller: That's right.,"Paul the Wine Guy: Ooh, steer clear of you.",1,"[('steer clear', 'G', '2', 'I')]"
8,"Paul the Wine Guy: Ooh, steer clear of you.",,Monica Geller: That's right.,1,[]
9,,Joey Tribbiani: Shut up!,Ross Geller: I'm divorced! I'm only 26 and I'm divorced!,2,"[('divorced', 'I', '2', 'F')]"
10,Ross Geller: I'm divorced! I'm only 26 and I'm divorced!,Chandler Bing: You must stop!,Joey Tribbiani: Shut up!,2,"[('Shut up', 'G', '2', 'I'), ('Shut up', 'O', '2', 'I')]"
11,Joey Tribbiani: Shut up!,Ross Geller: That only took me an hour.,Chandler Bing: You must stop!,2,[]
12,Chandler Bing: You must stop!,"Chandler Bing: Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!",Ross Geller: That only took me an hour.,2,[]
13,Ross Geller: That only took me an hour.,"Ross Geller: You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her...","Chandler Bing: Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!",2,"[('Mento', 'M', '3', 'T')]"
