,Pre Context,Post Context,Current Utterance,No,csi items,categories,foreignness,level,corresponding_values,corresponding_values_filtered,csi_items_all,csi_items_fil
0,,"Paul the Wine Guy: I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?",Monica Geller: Oh my God!,1,['Oh my god'],['F'],['2'],['I'],"[('Oh my god', 'F', '2', 'I')]","[('Oh my god', 'F', '2', 'I')]",1,1
1,Monica Geller: Oh my God!,"Monica Geller: My brother's going through that right now, he's such a mess. How did you get through it?","Paul the Wine Guy: I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?",1,['wine'],['M'],['2'],['T'],"[('wine', 'M', '2', 'T')]",[],1,1
2,"Paul the Wine Guy: I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?","Paul the Wine Guy: Well, you might try accidentally breaking something valuable of hers, say her-","Monica Geller: My brother's going through that right now, he's such a mess. How did you get through it?",1,[],[],[],[],[],[],0,0
3,"Monica Geller: My brother's going through that right now, he's such a mess. How did you get through it?",Monica Geller: -leg?,"Paul the Wine Guy: Well, you might try accidentally breaking something valuable of hers, say her-",1,"['wine', 'accidentally breaking something valuable']","['M', 'O']","['2', '1']","['T', 'I']","[('wine', 'M', '2', 'T'), ('accidentally breaking something valuable', 'O', '1', 'I')]",[],2,1
4,"Paul the Wine Guy: Well, you might try accidentally breaking something valuable of hers, say her-","Paul the Wine Guy: That's one way! Me, I- I went for the watch.",Monica Geller: -leg?,1,['-leg'],['G'],['3'],['I'],"[('-leg', 'G', '3', 'I')]","[('-leg', 'G', '3', 'I')]",1,1
5,Monica Geller: -leg?,"Monica Geller: You actually broke her watch? Wow! The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel.","Paul the Wine Guy: That's one way! Me, I- I went for the watch.",1,"['watch', 'Paul the Wine Guy']","['M', 'I']","['1', '3']","['T', 'I']","[('watch', 'M', '1', 'T'), ('Paul the Wine Guy', 'I', '3', 'I')]","[('Paul the Wine Guy', 'I', '3', 'I')]",2,1
6,"Paul the Wine Guy: That's one way! Me, I- I went for the watch.","Paul the Wine Guy: Ooh, steer clear of you.","Monica Geller: You actually broke her watch? Wow! The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel.",1,"['watch', 'bath towel']","['M', 'M']","['1', '1']","['T', 'T']","[('watch', 'M', '1', 'T'), ('bath towel', 'M', '1', 'T')]",[],2,0
7,"Monica Geller: You actually broke her watch? Wow! The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel.",Monica Geller: That's right.,"Paul the Wine Guy: Ooh, steer clear of you.",1,['steer clear'],['G'],['2'],['I'],"[('steer clear', 'G', '2', 'I')]","[('steer clear', 'G', '2', 'I')]",1,1
8,"Paul the Wine Guy: Ooh, steer clear of you.",,Monica Geller: That's right.,1,[],[],[],[],[],[],0,0
9,,Joey Tribbiani: Shut up!,Ross Geller: I'm divorced! I'm only 26 and I'm divorced!,2,['divorced'],['I'],['2'],['F'],"[('divorced', 'I', '2', 'F')]","[('divorced', 'I', '2', 'F')]",1,1
